6953 461186 1127518 1265846 1371382 1702002 
8685 14106 532893 604898 1502939 1620184 
10673 81883 221702 1303542 1404123 1739098 
12365 705637 775457 1197488 1521232 1598070 
14106 8685 49325 377144 529061 532893 
16134 208993 1360495 1365958 1440693 1775591 
17945 193962 254368 413527 621565 1515877 
19707 433476 580774 901202 1283664 1341810 
21552 841026 1301648 1356861 1362283 1698305 
23405 417024 426166 525405 727311 1338044 
25285 197598 623369 1274532 1559502 1614591 
27258 56830 112547 709273 1090778 1416849 
29090 81883 147079 971642 1321991 1526553 
30781 367783 406296 592010 723649 1098088 
32675 53169 429853 468461 1140143 1594479 
34588 180951 338364 520094 786240 1087211 
36253 47477 51326 486573 1703773 1744366 
38197 292505 349309 689157 745615 1466142 
40090 627084 725548 881124 1122059 1456809 
41804 99770 201275 549554 747473 1224647 
43789 155880 850160 943835 1238029 1398726 
45622 205080 1167629 1455010 1640736 1646266 
47477 436933 501613 531108 1444334 1744366 
49325 14106 377144 503383 529061 1716880 
51326 36253 47477 436933 501613 1444334 
53169 23405 256130 426166 468461 616123 
55010 175539 420625 582569 868148 930489 
56830 27258 112547 1090778 1131102 1819922 
58620 547700 806341 875546 1555786 1737287 
60459 257906 418817 507214 1618324 1677747 
62282 43789 155880 197598 837422 1790252 
64112 560717 1134783 1247372 1517645 1668710 
65879 608714 826507 888255 1143814 1587307 
67728 603080 1090778 1416849 1737287 1810826 
69564 87291 107175 1045090 1054248 1616533 
71396 546011 685737 738424 1374854 1783039 
73085 406296 886464 1473659 1561426 1786544 
74895 114345 740124 1002728 1101845 1321991 
76597 740124 884761 891918 962406 1258703 
78300 96198 154026 741823 1217485 1590978 
80089 299911 307034 573395 1208508 1369649 
81883 10673 221702 261515 1303542 1739098 
83597 126974 148742 705637 822837 1687078 
85418 228894 614331 1063577 1418698 1490134 
87291 107175 435203 514638 1222857 1665000 
89088 1276442 1380218 1464316 1610935 1663103 
90910 259733 940074 1032501 1283664 1561426 
92685 193962 507214 1402315 1446117 1515877 
94458 386534 725548 1607350 1768283 1777414 
96198 78300 608714 910174 1217485 1590978 
98068 193962 254368 470434 1446117 1477301 
99770 41804 201275 549554 817237 1387548 
101715 81883 915711 1201060 1541405 1592789 
103416 212604 440594 864655 1134783 1668710 
105246 510899 1077961 1154717 1506650 1812673 
107175 87291 353120 435203 544260 1222857 
108882 353120 514638 544260 1222857 1666846 
110680 671046 723649 886464 1473659 1594479 
